work_year	salary_in_usd	company_location
2023	143000	United States
2023	117000	United States
2023	216000	United States
2023	184000	United States
2023	324000	United States
2023	159000	United States
2023	130000	United States
2023	110000	United States
2023	73824	United Kingdom
2023	55368	United Kingdom
2023	370000	United States
2023	200000	United States
2023	275300	United States
2023	183500	United States
2023	230000	United States
2023	196000	United States
2023	253000	United States
2023	172040	United States
2023	234000	United States
2023	178000	United States
2023	164000	United States
2023	130000	United States
2023	109238	United States
2023	68274	United States
2023	57223	France
2023	51824	France
2023	80800	United States
2023	53800	United States
2023	258900	United States
2023	176080	United States
2023	70748	United Kingdom
2023	67056	United Kingdom
2023	120000	United States
2023	110000	United States
2023	309000	United States
2023	142000	United States
2023	201650	United States
2023	124600	United States
2023	65000	United States
2023	60000	United States
2023	132100	United States
2023	68400	United States
2023	145000	United States
2023	110000	United States
2023	160000	United States
2023	140000	United States
2023	87500	United States
2023	62500	United States
2023	142000	United States
2023	128000	United States
2023	160000	United States
2023	130000	United States
2023	155000	United States
2023	139500	United States
2023	202800	United States
2023	104300	United States
2023	221000	United States
2023	129000	United States
2023	259000	United States
2023	138750	United States
2023	120000	United States
2023	100000	United States
2023	155000	United States
2023	130000	United States
2023	247300	United States
2023	139700	United States
2023	215000	United States
2023	182750	United States
2023	248100	United States
2023	145900	United States
2023	207000	United States
2023	141000	United States
2023	90000	United States
2023	55000	United States
2023	247300	United States
2023	139700	United States
2023	36000	United States
2023	300000	United States
2023	100000	United States
2023	300000	United States
2023	100000	United States
2023	116700	United States
2023	93400	United States
2023	80000	United States
2023	50000	United States
2023	179000	United States
2023	176490	United States
2023	195000	United States
2023	143750	United States
2023	180000	United States
2023	162000	United States
2023	199000	United States
2023	196760	United States
2023	90000	Colombia
2023	70000	Colombia
2023	324000	United States
2023	159000	United States
2023	222000	United States
2023	159000	United States
2023	175000	United States
2023	150000	United States
2023	50000	Ukraine
2023	70179	United States
2023	110000	United States
2023	75000	United States
2023	46426	Slovenia
2023	38868	Slovenia
2023	220000	United States
2023	80000	United States
2023	167500	United States
2023	106500	United States
2023	150000	United States
2023	130000	United States
2023	150000	United States
2023	130000	United States
2023	126500	United States
2023	78000	United States
2023	185900	United States
2023	129300	United States
2023	250000	United States
2023	222000	United States
2023	145000	United States
2023	120000	United States
2023	150000	United States
2023	120000	United States
2023	204500	United States
2023	142200	United States
2023	297000	United States
2023	138000	United States
2023	147600	United States
2023	106300	United States
2023	247300	United States
2023	139700	United States
2023	102586	United Kingdom
2023	79981	United Kingdom
2023	131250	United States
2023	128100	United States
2023	116000	United States
2023	90000	United States
2023	174500	United States
2023	113000	United States
2023	56500	United States
2023	38868	Romania
2023	227000	United States
2023	185000	United States
2023	230000	United States
2023	160000	United States
2023	185000	United States
2023	150000	United States
2023	138300	United States
2023	110700	United States
